id,smaas,group,yoga,meditation,t_oad,t_pad,t_nad,c_oad,c_pad,c_nad,c_pa_nad,t_happy,t_excited,t_relaxed,t_satisfied,t_angry,t_anxious,t_depressed,t_sad,mind,both_mind,gm_smaas,gc_smaas,group_mind,smaas_mind,group_both_mind,smaas_both_mind
43,4.6722846,1,1,1,.09218999,.082623541,.10175645,.16651642,.21809964,.19954981,.13478519,.074304156,.1018162,.076093696,.078280099,.10507455,.1100154,.10130645,.090629391,0,0,4.7575555,-.085270882,0,0,0,0
46,5.5109892,0,1,1,.1091221,.10763865,.11060556,.15544525,.23014799,.1038606,.14677596,.14503415,.094050422,.084537722,.10693229,.087243386,.076185465,.15238802,.12660536,0,0,4.7575555,.7534337,0,0,0,0
47,3.8631346,0,2,2,.11956229,.12565729,.11346729,.13932095,.23513588,.18336144,.086875185,.12996762,.10310423,.15805639,.11150092,.11418376,.088263556,.14034563,.11107621,1,1,4.7575555,-.89442086,0,-.89442086,0,-.89442086
48,5.9428573,1,1,1,.12049825,.11369535,.12730116,.14390409,.21029681,.1970982,.09905903,.10215032,.13350277,.11101629,.10811204,.13366139,.12040801,.12609941,.12903583,0,0,4.7575555,1.1853018,0,0,0,0
50,5.215517,0,1,1,.11012227,.10395776,.11628678,.21667428,.34735811,.13553092,.19809659,.15107341,.074440688,.11238102,.077935934,.10828505,.096501365,.11064642,.14971426,0,0,4.7575555,.45796156,0,0,0,0
51,5.8007245,0,1,1,.079998836,.065181546,.094816126,.14348051,.23866645,.18074742,.093810685,.071970128,.054775801,.057099037,.076881208,.087063082,.083390355,.12011138,.088699676,0,0,4.7575555,1.043169,0,0,0,0
52,4.8882785,1,1,1,.089655645,.091010623,.088300668,.13498543,.23570253,.092983626,.11296719,.09114036,.071401387,.087750152,.11375059,.12079231,.068596303,.078888334,.084925719,0,0,4.7575555,.130723,0,0,0,0
53,3.4946237,1,1,1,.093446098,.081229039,.10566315,.14621305,.21210799,.20487624,.099503748,.047904249,.10235775,.085562006,.089092143,.10804058,.10016627,.12851819,.085927583,0,0,4.7575555,-1.2629318,0,0,0,0
55,3.783154,0,1,1,.10387419,.10999533,.097753055,.14142868,.24572283,.12144311,.10981295,.089134686,.10097536,.15662082,.093250439,.12966602,.092736587,.088114008,.080495618,0,0,4.7575555,-.97440147,0,0,0,0
56,5.7170262,1,1,1,.09722165,.08450973,.10993357,.14897671,.1713106,.18989211,.12525822,.074544095,.085388198,.084965207,.093141422,.090064205,.10075723,.09471897,.15419386,0,0,4.7575555,.95947075,0,0,0,0
