subjno,dayno,beep,group,emo1_m,emo2_m,emo3_m,emo4_m,emo5_m,emo6_m,emo7_m,emo8_m
2,15,5,2,25,29,31,23,88,0,80,0
2,15,6,2,25,30,31,41,20,25,84,23
2,16,1,2,49,77,25,30,67,23,63,68
2,16,2,2,34,20,24,32,24,24,75,13
2,16,3,2,21,44,22,11,91,83,72,10
2,16,4,2,33,8,50,7,43,34,66,63
2,16,5,2,79,80,49,68,19,18,19,15
2,16,6,2,,,,,,,,
2,17,1,2,21,13,20,37,10,0,72,0
2,17,2,2,33,18,15,12,1,21,65,22
2,17,3,2,36,15,22,52,0,1,77,21
2,17,4,2,35,10,68,38,8,1,82,6
2,17,5,2,23,71,72,70,0,13,41,16
2,17,6,2,73,71,71,76,0,0,20,55
2,18,1,2,34,31,78,57,2,17,8,39
2,18,2,2,,,,,,,,
2,18,3,2,47,73,76,56,4,1,25,3
2,18,4,2,42,34,72,66,0,1,22,0
2,18,5,2,,,,,,,,
2,18,6,2,,,,,,,,
2,19,1,2,60,19,63,50,3,1,66,0
2,19,2,2,,,,,,,,
2,19,3,2,54,28,67,28,0,21,6,0
2,19,4,2,32,73,76,30,75,0,2,20
2,19,5,2,16,22,71,10,60,13,38,1
2,19,6,2,33,66,30,48,3,15,21,2
2,20,1,2,24,13,69,38,22,4,71,0
2,20,2,2,35,65,59,33,3,2,22,1
2,20,3,2,,,,,,,,
2,20,4,2,28,15,19,63,0,49,67,0
2,20,5,2,,,,,,,,
2,20,6,2,,,,,,,,
2,21,1,2,8,0,28,26,0,13,77,35
2,21,2,2,,,,,,,,
2,21,3,2,32,9,19,23,20,2,68,3
2,21,4,2,,,,,,,,
2,21,5,2,24,11,14,2,4,33,64,10
2,21,6,2,,,,,,,,
2,22,1,2,,,,,,,,
2,22,2,2,,,,,,,,
2,22,3,2,,,,,,,,
2,22,4,2,,,,,,,,
2,22,5,2,8,6,13,22,92,3,76,82
2,22,6,2,29,19,13,42,73,0,71,64
2,23,1,2,,,,,,,,
2,23,2,2,26,65,23,71,14,1,61,14
2,23,3,2,,,,,,,,
2,23,4,2,,,,,,,,
2,23,5,2,,,,,,,,
2,23,6,2,81,22,34,72,0,5,56,2
2,24,1,2,18,20,56,34,37,17,37,19
2,24,2,2,75,70,19,57,15,61,2,0
2,24,3,2,,,,,,,,
2,24,4,2,41,57,22,41,0,5,0,0
2,24,5,2,64,74,61,33,0,3,12,0
2,24,6,2,79,76,79,81,2,0,1,0
2,25,1,2,60,80,75,76,0,0,13,0
2,25,2,2,37,71,30,31,0,3,18,0
2,25,3,2,45,16,16,50,2,41,77,0
2,25,4,2,,,,,,,,
2,25,5,2,42,18,78,76,4,5,20,1
2,25,6,2,64,64,26,60,0,10,13,7
2,26,1,2,23,47,74,30,74,0,0,0
2,26,2,2,,,,,,,,
2,26,3,2,,,,,,,,
2,26,4,2,,,,,,,,
2,26,5,2,,,,,,,,
2,26,6,2,,,,,,,,
2,27,1,2,68,68,98,55,0,5,10,0
2,27,2,2,62,67,80,97,0,0,2,0
2,27,3,2,17,17,49,52,0,23,24,1
2,27,4,2,59,15,17,52,0,0,68,0
2,27,5,2,,,,,,,,
2,27,6,2,,,,,,,,
2,28,1,2,33,37,66,55,0,8,35,23
2,28,2,2,,,,,,,,
2,28,3,2,19,12,12,18,30,1,70,28
2,28,4,2,16,2,13,20,25,0,80,74
2,28,5,2,15,7,35,14,54,0,77,71
2,28,6,2,,,,,,,,
2,29,1,2,,,,,,,,
2,29,2,2,69,57,76,63,0,15,4,0
2,29,3,2,,,,,,,,
2,29,4,2,,,,,,,,
2,29,5,2,64,24,26,59,0,8,8,0
2,29,6,2,89,83,35,30,0,2,14,0
2,30,1,2,32,82,67,64,0,14,28,0
2,30,2,2,53,93,69,69,0,30,0,0
2,30,3,2,67,74,71,68,0,1,0,0
2,30,4,2,,,,,,,,
2,30,5,2,,,,,,,,
2,30,6,2,,,,,,,,
2,31,1,2,62,36,71,61,0,18,0,0
2,31,2,2,74,44,71,26,1,0,12,0
2,31,3,2,,,,,,,,
2,31,4,2,84,30,74,88,0,0,20,0
2,31,5,2,68,23,68,64,0,0,0,0
2,31,6,2,69,13,67,62,0,0,0,14
2,32,1,2,74,66,65,66,0,3,0,0
2,32,2,2,,,,,,,,
2,32,3,2,76,44,69,95,2,0,39,0
2,32,4,2,,,,,,,,
2,32,5,2,,,,,,,,
2,32,6,2,,,,,,,,
2,33,1,2,,,,,,,,
2,33,2,2,61,17,63,58,1,0,0,0
2,33,3,2,66,52,60,65,0,3,7,1
2,33,4,2,,,,,,,,
2,33,5,2,52,22,64,60,4,4,25,0
2,33,6,2,66,24,69,62,0,2,1,0
2,34,1,2,32,19,18,15,64,81,75,0
2,34,2,2,,,,,,,,
2,34,3,2,,,,,,,,
2,34,4,2,16,2,14,19,0,1,66,74
2,34,5,2,30,0,51,22,0,0,71,10
2,34,6,2,65,30,52,19,66,0,0,2
2,35,1,2,37,18,50,24,1,0,65,25
2,35,2,2,64,87,51,62,0,22,21,11
2,35,3,2,49,17,38,35,0,19,22,0
2,35,4,2,24,12,66,18,45,0,0,0
2,35,5,2,16,0,33,2,67,0,70,14
2,35,6,2,,,,,,,,
2,36,1,2,,,,,,,,
2,36,2,2,60,16,22,31,0,0,12,0
2,36,3,2,,,,,,,,
2,36,4,2,63,82,19,37,0,22,74,0
2,36,5,2,,,,,,,,
2,36,6,2,,,,,,,,
2,37,1,2,70,85,50,67,0,11,3,0
2,37,2,2,,,,,,,,
2,37,3,2,,,,,,,,
2,37,4,2,76,18,34,39,5,0,31,6
2,37,5,2,58,6,21,67,0,11,36,0
2,37,6,2,57,25,20,0,0,0,50,0
2,38,1,2,100,100,77,67,0,0,18,0
2,38,2,2,,,,,,,,
2,38,3,2,,,,,,,,
2,38,4,2,,,,,,,,
2,38,5,2,59,12,59,48,9,0,59,0
2,38,6,2,71,29,72,60,0,0,0,0
2,39,1,2,71,30,61,67,0,0,0,0
2,39,2,2,67,42,73,80,1,0,0,0
2,39,3,2,64,21,36,36,3,0,0,3
2,39,4,2,35,52,28,63,0,3,0,0
2,39,5,2,,,,,,,,
2,39,6,2,,,,,,,,
2,40,1,2,54,15,73,24,42,0,1,0
2,40,2,2,,,,,,,,
2,40,3,2,39,67,34,32,12,0,5,0
2,40,4,2,,,,,,,,
2,40,5,2,,,,,,,,
2,40,6,2,31,22,0,13,22,1,56,0
3,1,1,1,51,47,65,67,0,0,29,9
3,1,2,1,49,27,70,81,0,0,17,5
3,1,3,1,47,0,53,74,0,0,0,12
3,1,4,1,53,10,63,54,0,0,0,12
3,1,5,1,47,10,42,63,0,0,17,10
3,1,6,1,56,17,53,64,0,0,0,0
3,2,1,1,46,0,37,67,0,0,0,9
3,2,2,1,62,4,74,78,0,0,0,11
3,2,3,1,45,0,73,70,0,9,17,9
3,2,4,1,61,5,77,74,0,0,0,4
3,2,5,1,59,0,58,78,0,0,0,7
3,2,6,1,61,0,73,73,0,0,0,0
3,3,1,1,60,11,84,83,0,0,0,0
3,3,2,1,61,13,85,87,0,0,0,0
3,3,3,1,73,25,90,79,0,0,0,2
3,3,4,1,74,14,85,87,0,0,0,0
3,3,5,1,68,12,69,82,0,0,0,0
3,3,6,1,53,0,63,76,0,0,0,0
3,4,1,1,47,0,60,62,0,0,11,19
3,4,2,1,30,0,46,41,16,0,14,0
3,4,3,1,,,,,,,,
3,4,4,1,,,,,,,,
3,4,5,1,20,0,28,28,58,0,42,63
3,4,6,1,47,0,56,39,22,0,17,30
3,5,1,1,47,0,67,61,0,0,0,0
3,5,2,1,42,0,63,63,0,0,11,14
3,5,3,1,45,0,65,52,0,0,7,7
3,5,4,1,47,0,57,55,0,0,11,7
3,5,5,1,47,0,49,53,0,0,9,0
3,5,6,1,60,0,64,77,0,0,13,11
3,6,1,1,53,0,77,77,0,0,0,0
3,6,2,1,47,0,60,62,0,0,0,9
3,6,3,1,57,0,70,70,0,0,0,0
3,6,4,1,47,0,53,53,0,0,11,4
3,6,5,1,47,0,46,47,0,0,0,0
3,6,6,1,27,0,45,32,0,0,34,41
3,7,1,1,67,0,74,80,0,0,0,0
3,7,2,1,47,0,55,58,0,0,9,12
3,7,3,1,,,,,,,,
3,7,4,1,16,0,41,18,23,0,66,71
3,7,5,1,36,0,49,28,0,0,40,58
3,7,6,1,37,0,51,46,0,0,26,31
3,8,1,1,51,0,56,62,0,0,10,17
3,8,2,1,50,0,59,58,0,0,0,0
3,8,3,1,64,15,69,75,0,0,0,0
3,8,4,1,52,0,71,82,0,0,0,0
3,8,5,1,,,,,,,,
3,8,6,1,53,0,66,74,0,0,0,0
3,9,1,1,,,,,,,,
3,9,2,1,51,0,51,57,11,0,0,5
3,9,3,1,54,0,51,65,0,15,0,15
3,9,4,1,51,0,55,66,0,0,9,1
3,9,5,1,48,0,39,58,0,0,0,0
3,9,6,1,53,0,55,64,0,11,10,8
3,10,1,1,53,0,53,61,0,0,6,0
3,10,2,1,52,0,53,62,0,0,0,0
3,10,3,1,52,0,65,62,0,0,0,0
3,10,4,1,66,12,71,73,0,0,0,0
3,10,5,1,67,0,76,83,2,0,0,0
3,10,6,1,,,,,,,,
3,11,1,1,,,,,,,,
3,11,2,1,,,,,,,,
3,11,3,1,,,,,,,,
3,11,4,1,,,,,,,,
3,11,5,1,55,0,68,67,1,0,0,0
3,11,6,1,62,0,81,75,0,0,0,0
3,12,1,1,50,2,49,71,0,0,0,0
3,12,2,1,53,0,69,78,0,0,0,0
3,12,3,1,66,4,76,80,0,0,0,0
3,12,4,1,56,0,77,79,0,0,0,2
3,12,5,1,,,,,,,,
3,12,6,1,66,24,69,83,0,0,0,0
3,13,1,1,69,0,83,85,0,0,0,1
3,13,2,1,66,0,65,74,0,0,0,0
3,13,3,1,57,0,70,81,0,0,0,0
3,13,4,1,56,1,52,79,0,0,0,0
3,13,5,1,57,0,65,79,0,0,0,0
3,13,6,1,47,0,60,75,0,0,14,0
3,14,1,1,47,0,46,56,0,0,27,0
3,14,2,1,47,0,64,72,2,0,10,1
3,14,3,1,,,,,,,,
3,14,4,1,47,1,51,49,0,0,14,19
3,14,5,1,48,0,49,53,3,0,20,13
3,14,6,1,47,0,56,55,0,0,16,10
3,15,1,1,43,0,52,46,0,0,10,13
3,15,2,1,47,0,60,53,0,0,13,11
3,15,3,1,42,0,53,51,0,0,15,19
3,15,4,1,38,0,53,40,0,0,13,23
3,15,5,1,46,0,60,60,0,0,6,15
3,15,6,1,49,0,60,58,0,0,0,11
3,16,1,1,60,20,62,79,0,0,0,0
3,16,2,1,,,,,,,,
3,16,3,1,47,0,53,53,0,0,20,16
3,16,4,1,,,,,,,,
3,16,5,1,53,0,64,64,0,0,11,12
3,16,6,1,57,0,56,67,0,0,0,0
3,17,1,1,,,,,,,,
3,17,2,1,,,,,,,,
3,17,3,1,43,0,38,46,0,0,18,0
3,17,4,1,,,,,,,,
3,17,5,1,52,0,53,61,0,0,13,12
3,17,6,1,52,0,51,60,0,0,0,0
3,18,1,1,55,0,62,65,2,0,0,0
3,18,2,1,,,,,,,,
3,18,3,1,,,,,,,,
3,18,4,1,65,13,76,82,0,0,0,0
3,18,5,1,55,0,70,75,0,0,0,0
3,18,6,1,52,0,64,68,0,2,0,0
3,19,1,1,55,0,55,62,0,0,14,14
3,19,2,1,45,0,46,53,0,0,14,11
3,19,3,1,43,0,55,49,3,1,25,33
3,19,4,1,,,,,,,,
3,19,5,1,40,0,53,44,7,0,19,11
3,19,6,1,47,0,57,53,0,0,20,22
3,20,1,1,49,0,52,53,0,0,10,11
3,20,2,1,51,0,55,56,0,0,12,11
3,20,3,1,53,0,55,60,0,0,7,15
3,20,4,1,53,0,54,50,2,0,12,13
3,20,5,1,53,0,54,59,0,0,10,13
3,20,6,1,51,0,54,56,0,3,12,12
3,21,1,1,56,0,54,53,0,8,15,11
3,21,2,1,,,,,,,,
3,21,3,1,,,,,,,,
3,21,4,1,56,0,64,70,0,0,4,0
3,21,5,1,,,,,,,,
3,21,6,1,58,13,63,65,0,0,0,0
3,22,1,1,50,0,54,55,0,0,0,0
3,22,2,1,53,0,53,62,2,0,0,0
3,22,3,1,48,0,69,63,0,0,0,0
3,22,4,1,54,0,65,74,0,0,0,0
3,22,5,1,61,0,72,71,0,0,0,0
3,22,6,1,,,,,,,,
3,23,1,1,,,,,,,,
3,23,2,1,49,0,53,53,0,2,9,16
3,23,3,1,53,0,54,53,0,0,13,21
3,23,4,1,42,0,49,52,0,9,15,32
3,23,5,1,,,,,,,,
3,23,6,1,34,0,47,38,41,0,24,52
3,24,1,1,50,0,53,50,0,0,12,16
3,24,2,1,44,0,52,48,9,0,12,23
3,24,3,1,48,0,53,49,18,0,14,17
3,24,4,1,45,0,51,46,16,3,10,25
