ID;KWAAD;KWAAD_1;DEPRE;DEPRE_1;DROEV;DROEV_1;ANGST;ANGST_1;ONTSP;ONTSP_1;BLIJ;BLIJ_1;ID;Neuroticism score
9;1;17;1;1;9;12;1;1;49;73;50;61;;
9;1;1;1;1;46;9;1;1;53;49;45;50;;
9;1;1;4;1;1;46;1;1;69;53;48;45;;
9;1;1;1;4;10;1;1;1;75;69;69;48;;
9;1;9999;1;9999;1;9999;1;9999;93;9999;68;9999;;
9;1;1;13;1;18;1;1;1;68;93;60;68;;
9;1;1;1;13;1;18;1;1;73;68;56;60;;
9;1;1;1;1;1;1;1;1;76;73;73;56;;
9;1;1;1;1;1;1;4;1;68;76;80;73;;
9;1;1;1;1;24;1;1;4;69;68;74;80;;
9;53;1;51;1;49;24;6;1;54;69;35;74;;
9;1;53;1;51;1;49;1;6;89;54;91;35;;
9;1;1;1;1;1;1;1;1;77;89;100;91;;
9;1;1;1;1;1;1;5;1;83;77;87;100;;
9;1;9999;1;9999;17;9999;1;9999;81;9999;73;9999;;
9;1;1;1;1;3;17;1;1;90;81;89;73;;
9;1;1;6;1;1;3;1;1;83;90;84;89;;
9;8;1;7;6;16;1;9;1;73;83;50;84;;
9;1;8;1;7;1;16;1;9;67;73;79;50;;
9;8;1;9;1;11;1;5;1;79;67;94;79;;
9;1;8;1;9;1;11;100;5;92;79;100;94;;
9;1;1;1;1;1;1;1;100;79;92;100;100;;
9;1;1;6;1;1;1;6;1;96;79;72;100;;
9;5;1;1;6;1;1;4;6;99;96;86;72;;
9;1;5;1;1;1;1;1;4;66;99;100;86;;
9;10;9999;1;9999;1;9999;1;9999;26;9999;28;9999;;
9;5;10;7;1;1;1;6;1;93;26;69;28;;
9;9999;5;9999;7;9999;1;9999;6;9999;93;9999;69;;
9;1;9999;1;9999;1;9999;3;9999;63;9999;100;9999;;
9;1;1;1;1;1;1;1;3;76;63;100;100;;
9;7;1;1;1;1;1;5;1;97;76;96;100;;
9;9999;7;9999;1;9999;1;9999;5;9999;97;9999;96;;
9;14;9999;4;9999;1;9999;1;9999;100;9999;100;9999;;
9;3;14;1;4;1;1;4;1;100;100;96;100;;
9;6;3;1;1;5;1;3;4;100;100;97;96;;
9;26;9999;1;9999;26;9999;1;9999;60;9999;65;9999;;
9;22;26;3;1;9;26;1;1;62;60;84;65;;
9;50;22;15;3;12;9;10;1;49;62;64;84;;
9;20;50;7;15;87;12;12;10;74;49;78;64;;
9;9;20;5;7;4;87;14;12;54;74;80;78;;
9;9999;9;9999;5;9999;4;9999;14;9999;54;9999;80;;
9;1;9999;1;9999;1;9999;16;9999;90;9999;77;9999;;
9;46;1;11;1;2;1;16;16;49;90;86;77;;
9;9999;46;9999;11;9999;2;9999;16;9999;49;9999;86;;
9;32;9999;1;9999;1;9999;39;9999;60;9999;59;9999;;
10;1;9999;1;9999;1;9999;1;9999;80;9999;83;9999;;
10;9999;1;9999;1;9999;1;9999;1;9999;80;9999;83;;
10;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;;
10;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;;
10;1;9999;1;9999;1;9999;1;9999;80;9999;80;9999;;
10;1;1;1;1;1;1;1;1;100;80;98;80;;
10;1;1;1;1;1;1;1;1;100;100;100;98;;
10;1;9999;1;9999;1;9999;1;9999;69;9999;82;9999;;
10;9999;1;9999;1;9999;1;9999;1;9999;69;9999;82;;
10;1;9999;1;9999;1;9999;1;9999;100;9999;1;9999;;
10;6;1;1;1;4;1;1;1;82;100;96;1;;
10;9999;6;9999;1;9999;4;9999;1;9999;82;9999;96;;
10;1;9999;4;9999;1;9999;1;9999;100;9999;96;9999;;
10;1;1;6;4;9;1;5;1;96;100;94;96;;
10;1;1;1;6;1;9;1;5;64;96;100;94;;
10;30;1;1;1;4;1;1;1;41;64;49;100;;
10;9999;30;9999;1;9999;4;9999;1;9999;41;9999;49;;
10;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;;
10;25;9999;1;9999;1;9999;1;9999;74;9999;70;9999;;
10;1;25;7;1;1;1;4;1;100;74;100;70;;
10;9999;1;1;7;9999;1;9999;4;61;100;9999;100;;
10;1;9999;4;1;1;9999;1;9999;70;61;75;9999;;
10;19;1;5;4;1;1;1;1;52;70;55;75;;
10;9999;19;9999;5;9999;1;9999;1;9999;52;9999;55;;
10;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;;
10;1;9999;1;9999;1;9999;1;9999;96;9999;96;9999;;
10;1;1;1;1;1;1;1;1;100;96;100;96;;
10;1;9999;2;9999;1;9999;1;9999;78;9999;73;9999;;
10;4;1;1;2;1;1;1;1;80;78;79;73;;
10;4;4;1;1;1;1;6;1;66;80;91;79;;
10;5;4;1;1;7;1;5;6;95;66;82;91;;
10;1;5;2;1;1;7;5;5;87;95;72;82;;
10;15;1;4;2;1;1;1;5;60;87;70;72;;
10;1;15;4;4;1;1;1;1;77;60;68;70;;
10;1;1;1;4;1;1;1;1;83;77;80;68;;
10;1;1;1;1;1;1;1;1;78;83;98;80;;
10;1;9999;1;9999;1;9999;1;9999;85;9999;100;9999;;
10;5;1;5;1;1;1;1;1;84;85;95;100;;
10;1;5;5;5;1;1;5;1;87;84;89;95;;
10;13;1;14;5;6;1;8;5;77;87;83;89;;
10;23;13;1;14;5;6;1;8;56;77;64;83;;
10;36;23;1;1;1;5;3;1;36;56;37;64;;
10;1;36;1;1;5;1;1;3;72;36;77;37;;
10;9999;1;9999;1;9999;5;9999;1;9999;72;9999;77;;
10;1;9999;4;9999;1;9999;1;9999;73;9999;100;9999;;
10;9999;1;9999;4;9999;1;9999;1;9999;73;9999;100;;
10;1;9999;1;9999;1;9999;1;9999;82;9999;58;9999;;
10;8;1;33;1;22;1;6;1;82;82;68;58;;
10;1;8;1;33;1;22;5;6;59;82;53;68;;
10;5;1;1;1;4;1;5;5;85;59;85;53;;
10;1;5;1;1;1;4;2;5;77;85;100;85;;
10;23;1;1;1;1;1;1;2;64;77;73;100;;
10;9999;23;9999;1;9999;1;9999;1;9999;64;9999;73;;
10;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;;
10;1;9999;1;9999;1;9999;1;9999;88;9999;86;9999;;
10;1;1;3;1;1;1;1;1;80;88;73;86;;
10;10;9999;8;9999;1;9999;4;9999;89;9999;79;9999;;
10;1;10;4;8;1;1;1;4;91;89;82;79;;
10;1;1;5;4;1;1;9;1;77;91;88;82;;
